NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Study Type,Start Date,Primary Completion Date,Completion Date,Locations
NCT07099378,Micro Ribonucleic Acid (miRNA) Expression and Inflammatory Factors in Patients With Parkinson's and Periodontal Disease,https://clinicaltrials.gov/study/NCT07099378,NOT_YET_RECRUITING,Periodontal Diseases Inflammation,OTHER: Saliva and Serum|OTHER: Saliva and Serum,Medipol University,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08-01,2025-12-31,2026-02-01,"Istanbul Medipol University, Istanbul, Fatih, Turkey"
NCT07099365,Psychological Adjustment to Long-term (PAL) Physical Conditions: A Randomised Cross-over Feasibility Trial of a Self-guided App,https://clinicaltrials.gov/study/NCT07099365,RECRUITING,"Depression, Anxiety|Chronic Disease",DEVICE: Orbi,King's College London,Avegen Health,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-06-10,2025-08,2025-11,"Health Psychology Department, King's College London, London, SE1 9RT, United Kingdom"
NCT07099352,Efficacy of of Acupuncture Laser Therapy on Hemodialysis Patients,https://clinicaltrials.gov/study/NCT07099352,ACTIVE_NOT_RECRUITING,Hemodialysis,DEVICE: Acupuncture Laser Therapy,Sinai University,,ALL,"CHILD, ADULT",INTERVENTIONAL,2025-01-01,2025-01-01,2025-10-01,"Cairo university- Faculity of physical therapy, Cairo, 11562, Egypt"
NCT07099339,Effect of Pudendal Nerve Electrical Stimulation on Fecal Incontinence in Children With Repaired Anorectal Malformation: A Randomized Controlled Clinical Trial,https://clinicaltrials.gov/study/NCT07099339,COMPLETED,Fecal Incontinence (FI)|Anorectal Malformations,BEHAVIORAL: Behavioral Therapy|OTHER: Kegel Exercise|DEVICE: Pudendal Nerve Electrical Stimulation|DIAGNOSTIC_TEST: Anal Sphincter Muscle Activity Peak|DIAGNOSTIC_TEST: Bowel Diary Documentation,Sinai University,"National Institute of Diabetes and Endocrinology, Egypt|El Galaa Teaching Hospital|Benha Children Hospital|Benha University",ALL,CHILD,INTERVENTIONAL,2024-11-02,2025-03-20,2025-06-03,"General Organization for Teaching Hospitals and Institutes, Cairo, 11562, Egypt"
NCT07099326,Interactive vs. Standard Video Education for Improving Outcomes in Hemodialysis Patients,https://clinicaltrials.gov/study/NCT07099326,NOT_YET_RECRUITING,Hemodialysis|Nurse|Educational Videos|Patient Activation|Weight Change|Treatment Adherence,OTHER: Educational Method Using Interactive Video|OTHER: Educational Method Using Conventional Video,Shahid Beheshti University of Medical Sciences,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08-05,2025-09-05,2025-10-05,
NCT07099313,Association of Prophylactic Treatment With Treatment Burden and Psychosocial Variables in Patients With Hemophilia,https://clinicaltrials.gov/study/NCT07099313,NOT_YET_RECRUITING,Hemophilia,,Investigación en Hemofilia y Fisioterapia,,MALE,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-07-31,2025-09-13,2025-10-15,"Universidad de Oviedo, Oviedo, Asturias, 33006, Spain"
NCT07099300,The Use of Nasogastric Tubes and Water-Soluble Contrast With or Without Radiographic Imaging in The Management of Adhesive Small Bowel Obstruction: A Feasibility Study,https://clinicaltrials.gov/study/NCT07099300,NOT_YET_RECRUITING,Small Bowel Obstruction,DIAGNOSTIC_TEST: Abdominal Radiography,"University of California, Los Angeles",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08-15,2030-08-15,2030-08-15,
NCT07099287,Advancing Smoking Cessation Among Transgender,https://clinicaltrials.gov/study/NCT07099287,COMPLETED,Smoking Cessation,BEHAVIORAL: TRANSform your health,University of Rochester,National Cancer Institute (NCI)|Fundación Huésped,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2024-09-23,2025-02-05,2025-02-28,"Fundación Huésped, Buenos Aires, Argentina"
NCT07099274,Lparomlimab and Tuvonralimab Injection in Combination With TACE and Lenvatinib in the Treatment of Second-Line Therapy for Locally Advanced or Metastatic Clear Cell Renal Cell Carcinoma Following Failure of First-Line Systemic Therapy,https://clinicaltrials.gov/study/NCT07099274,NOT_YET_RECRUITING,HCC,DRUG: lparomlimab and Tuvonralimab Injection in Combination with TACE and Lenvatinib,Tianjin Medical University Cancer Institute and Hospital,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08-15,2027-12-30,2029-12-30,"Tianjin Medical University Cancer Institute and Hospital, Tianjin, Tianjin, 300000, China"
NCT07099261,A Comparative Clinical Study to Evaluate Crowns Designed by Artificial Intelligence Versus Crowns Designed Traditional Design Software,https://clinicaltrials.gov/study/NCT07099261,NOT_YET_RECRUITING,Dental Crown,OTHER: Crowns,Tishreen University,,ALL,ADULT,INTERVENTIONAL,2025-10-01,2026-08-01,2026-09-01,
NCT07099248,Cervico-vestibular Home Exercise Program Feasibility,https://clinicaltrials.gov/study/NCT07099248,NOT_YET_RECRUITING,Concussion|Sports Injuries in Children,OTHER: Cervico-vestibular Home Exercise Program,Texas Scottish Rite Hospital for Children,,ALL,CHILD,INTERVENTIONAL,2025-09,2026-07,2026-08,"Scottish Rite for Children, Frisco, Texas, 75034, United States"
NCT07099235,Chart Review of Patients Undergoing Ketamine Treatments for Depression,https://clinicaltrials.gov/study/NCT07099235,COMPLETED,Depression - Major Depressive Disorder,DRUG: ketamine hydrochloride,Sunnybrook Health Sciences Centre,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2022-04-01,2025-06-29,2025-06-29,"Ontario Ketamine and Infusion Centre - Toronto Site, Mississauga, Ontario, L4Y 1M3, Canada"
NCT07099222,"Efficacy of Non-weight Based, Low Dose Dex-Dex Adjuncts in Prolonging Peripheral Nerve Blocks",https://clinicaltrials.gov/study/NCT07099222,ACTIVE_NOT_RECRUITING,"Postoperative Pain|Nausea and Vomiting, Postoperative|Dizziness|Constipation|Duration of Response|Narcotics Consumption|Pain After Surgery","DRUG: Low, non-weight based dose of Dexamethasone and Dexmedetomidine in peripheral nerve blocks|DRUG: Ropivacaine with low, non weight based Dexamethasone additive",University of Arizona,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2024-10-10,2025-10-10,2025-12-31,"Banner - University Medical Center South, Tucson, Arizona, 85713, United States"
NCT07099209,Delta-Wave Hypnoanalgesia for Reducing Perioperative Anxiety in Cataract Surgery,https://clinicaltrials.gov/study/NCT07099209,COMPLETED,Cataract|Anxiety,BEHAVIORAL: Delta-Wave Hypnoanalgesia,Military Hospital of Tunis,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2023-09-28,2024-01-12,2024-05-15,"Main Military Hospital of Tunis, Tunis, Montfleury, 1008, Tunisia"
NCT07099196,Impact of Virtual Reality on Pain and Anxiety During Intravenous Cannulation Procedures Among Thalassemia Patients in UAE.,https://clinicaltrials.gov/study/NCT07099196,COMPLETED,"Thalassemia, Beta|Thalassemia|Pain|Anxiety|Blood Disorder",DEVICE: Headset-based Virtual Reality Simulation,Mohammed Bin Rashid University of Medicine and Health Sciences,,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL,2024-05-24,2024-08-20,2024-08-20,"Dubai Thalassemia Center, Dubai, United Arab Emirates"
NCT07099183,Nyx3 Data Collection Study,https://clinicaltrials.gov/study/NCT07099183,NOT_YET_RECRUITING,Sleep Staging,,ResMed,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-07-30,2025-10-01,2025-10-01,
NCT07099170,Training Models in Pelvic Floor Muscle Training,https://clinicaltrials.gov/study/NCT07099170,NOT_YET_RECRUITING,Pelvic Floor Muscle Exercise|Healthy Adult Women|Pelvic Floor Muscle Training,BEHAVIORAL: Brochure-Based Pelvic Floor Muscle Training|BEHAVIORAL: Verbal Instruction-Based Pelvic Floor Muscle Training|BEHAVIORAL: Visual-Aided Pelvic Floor Muscle Training|BEHAVIORAL: External Palpation-Aided Pelvic Floor Muscle Training,Izmir University of Economics,Dokuz Eylul University,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07-28,2025-10-31,2025-11-07,"Izmir University of Economics, Izmir, 35180, Turkey"
NCT07099157,Efficacy and Safety of Brivudine in the Treatment of Herpes Zoster,https://clinicaltrials.gov/study/NCT07099157,NOT_YET_RECRUITING,Herpes Zoster,DRUG: Brivudine|DRUG: Famciclovir,Peking University Third Hospital,"Peking University First Hospital|Air Force Military Medical University, China|Beijing Hospital of Traditional Chinese Medicine|Xuanwu Hospital, Beijing",ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-09-01,2026-12-31,2027-12-31,"Air Force Medical Center, PLA, Beijing, China|Beijing Hospital of Traditional Chinese Medicine, Capital Medical University, Beijing, China|Peking University First Hospital, Beijing, China|Xuanwu Hospital, Capital Medical University, Beijing, China"
NCT07099144,Inhaled Nitric Oxide for the Treatment of Neonatal Hypoxic Respiratory Failure With Pulmonary Hypertension,https://clinicaltrials.gov/study/NCT07099144,RECRUITING,Pulmonary Hypertension|Hypoxic Respiratory Failure,DRUG: Inhaled nitric oxide (NO),Lee's Pharmaceutical Limited,,ALL,CHILD,OBSERVATIONAL,2024-12-12,2025-12-31,2026-12-30,"Guangzhou Women and Children'S Medical Center, Guangzhou, Guangdong, 510623, China"
NCT07099131,Effective Interventions to Overcome Severe Gag Reflex,https://clinicaltrials.gov/study/NCT07099131,NOT_YET_RECRUITING,Gagging,DRUG: Anesthetic spray|DEVICE: Acupuncture|GENETIC: Masking Tape,Tufts University,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-12-07,2027-12-07,2028-12-07,"Tufts University School of Dental Medicine, Boston, Massachusetts, 02111, United States"
NCT07099118,"A Safety, Tolerability, Pharmacokinetics/Pharmacodynamics Study of HEC169584 Capsules in Healthy Subjects",https://clinicaltrials.gov/study/NCT07099118,NOT_YET_RECRUITING,Non - Alcoholic Steatohepatitis,DRUG: HEC169584 capsule|DRUG: placebo,"Sunshine Lake Pharma Co., Ltd.",,ALL,ADULT,INTERVENTIONAL,2025-08-14,2026-12-30,2027-03-06,"No. 49, Huayuan North Road, Haidian District, Beijing Municipality, Beijing, Beijing, China"
NCT07099105,Subcostal Single-port Versus Intercostal Multi-port Robotic Lobectomy for Non-small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT07099105,COMPLETED,Non Small Cell Lung Cancer,,Korea University Guro Hospital,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2017-01-01,2024-12-31,2024-12-31,"Korea University Guro Hospital, Seoul, Korea, Republic of"
NCT07099092,Causal Mechanisms of Odor-Guided Behavior in Humans,https://clinicaltrials.gov/study/NCT07099092,NOT_YET_RECRUITING,Normal Physiology,DEVICE: TUS PirC|DEVICE: TUS Amy|DEVICE: TUS Sham,National Institute on Drug Abuse (NIDA),,ALL,ADULT,INTERVENTIONAL,2025-08-06,2035-07-14,2035-07-14,"National Institute on Drug Abuse, Baltimore, Maryland, 21224, United States"
NCT07099079,Post-Market Clinical Follow-Up Study on the Rotational Stability of an Intraocular Lens After Cataract Surgery,https://clinicaltrials.gov/study/NCT07099079,NOT_YET_RECRUITING,"IOL, Cataract",,Rayner Intraocular Lenses Limited,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2026-01-01,2026-10-31,2026-11-30,
NCT07099066,Generation of Cell Banks and Biomarker Isolation From Patients With Amyotrophic Lateral Sclerosis (ALS) (HCD-SLA),https://clinicaltrials.gov/study/NCT07099066,NOT_YET_RECRUITING,Amyotrophic Lateral Sclerosis (ALS),OTHER: sampling blood,Human Cell Design,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-09-01,2026-04,2026-06,
NCT07099053,Amyloid PET Imaging in the Baltimore Longitudinal Study of Aging,https://clinicaltrials.gov/study/NCT07099053,NOT_YET_RECRUITING,Aging,,National Institute on Aging (NIA),,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-08-06,2029-12-12,2029-12-12,"National Institute of Aging, Clinical Research Unit, Baltimore, Maryland, 21224, United States"
NCT07099040,Community-based Multi-domain Intervention to Detect and Delay Cognitive Decline in Community-dwelling Older Adults: A Pilot Study,https://clinicaltrials.gov/study/NCT07099040,NOT_YET_RECRUITING,Mild Cognitive Impairment|Mild Cognitive Impairment (MCI),BEHAVIORAL: Social support|BEHAVIORAL: Health coaching|BEHAVIORAL: Physical Activity|BEHAVIORAL: Cognitive activity,Singapore General Hospital,Singapore Health Services,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08-12,2026-09-30,2026-09-30,
NCT07099027,The Lung Health Check Pilot,https://clinicaltrials.gov/study/NCT07099027,RECRUITING,Non-Small Cell Lung Cancer,DIAGNOSTIC_TEST: Low dose CT,"Royal College of Surgeons, Ireland",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-05-19,2026-02-15,2028-01-15,"Beaumont RCSI Cancer Centre, Dublin, Ireland"
NCT07099014,Inhaled Isoflurane for Sedation of Invasively Ventilated Patients With Cardiogenic Shock on Extracorporeal Membrane Oxygenation,https://clinicaltrials.gov/study/NCT07099014,NOT_YET_RECRUITING,"Cardiogenic Shock, ECMO","DRUG: Inahled Isoflurane|DRUG: Propofol, midazolam",Assistance Publique - Hôpitaux de Paris,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-09-15,2028-10-13,2029-04-13,
NCT07099001,Establishing Clinical Utility Evidence for a Novel Alzheimer's Disease Blood-Based Biomarker Assay,https://clinicaltrials.gov/study/NCT07099001,NOT_YET_RECRUITING,Alzheimer Disease (AD)|Cognitive Decline,OTHER: Educational materials on the Alzheimer's disease assay|OTHER: Alzheimer's disease assay results,"Qure Healthcare, LLC","Beckman Coulter, Inc.",ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07-31,2025-10-31,2025-12-31,
NCT07098988,Trial Investigating Visugromab in Combination With Immunochemotherapy in 1L Treatment of Participants With Metastatic NSCLC,https://clinicaltrials.gov/study/NCT07098988,NOT_YET_RECRUITING,Metastatic Non-Squamous Non-Small Cell Lung Cancer|Adult Solid Tumor,BIOLOGICAL: Visugromab|DRUG: Matching placebo for visugromab|BIOLOGICAL: Pembrolizumab 200 mg Q3W|DRUG: Pemetrexed 500 mg/m^2|DRUG: Carboplatin AUC 5,CatalYm GmbH,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07-30,2029-03-31,2031-03-31,"University of Alabama at Birmingham, Birmingham, Alabama, 35294-2936, United States"
NCT07098975,Statin Intervention for Severe Early-Onset Placental Insufficiency. (STATIN-PRE Trial),https://clinicaltrials.gov/study/NCT07098975,NOT_YET_RECRUITING,Preeclampsia (PE)|Intrauterine Growth Restriction (IUGR)|Placental Insufficiency,DRUG: Pravastatin 40 mg|OTHER: Placebo,Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,Universitat Autonoma de Barcelona|Hospital Clinic of Barcelona|Hospital Universitari Vall d'Hebron Research Institute,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-09,2027-11,2028-07,"Hospital de la Santa Creu i de Sant Pau, Barcelona, 08025, Spain|Hospital Clínic de Barcelona, Barcelona, Spain"
NCT07098962,KinesioTaping for Thoracic Drain Support,https://clinicaltrials.gov/study/NCT07098962,NOT_YET_RECRUITING,"Primary Condition: Pain, Postoperative|Associated Conditions: Cardiac Surgical Procedures, Thoracic Surgery","OTHER: Kinesiotaping|DRUG: Dexketoprofen, tramadol",Kastamonu University,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08-15,2026-01-15,2026-01-15,"Kastamonu Education and Research Hospital, Kastamonu, 37200, Turkey"
NCT07098949,Acupuncture Combined With Chemotherapy for Gastric Cancer After Surgery,https://clinicaltrials.gov/study/NCT07098949,NOT_YET_RECRUITING,Gastric Cancer,OTHER: Acupuncture|OTHER: Sham Acupuncture|DRUG: Chemotherapy,Guangzhou University of Traditional Chinese Medicine,"Sixth Affiliated Hospital, Sun Yat-sen University|First Affiliated Hospital, Sun Yat-Sen University",ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08,2028-12,2029-02,"The first affiliated hospital, Sun Yat-sen University, Guangzhou, Guangdong, 510000, China|Guangdong Provincial Hospital of Chinese Medicine, Guangzhou, Guangdong, 510120, China|Sixth Affiliated Hospital ,Sun Yat-sen University, Guangzhou, Guangdong, China"
NCT07098936,Momelotinib in VEXAS Syndrome,https://clinicaltrials.gov/study/NCT07098936,NOT_YET_RECRUITING,VEXAS Syndome|Myelo Dysplastic Syndrome,DRUG: Momelotinib treatment,Groupe Francophone des Myelodysplasies,GlaxoSmithKline Research & Development Limited,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-10,2028-05,2028-10,"CHU d'Angers - Service des Maladies du sang, Angers, 49933, France|CHU Estaing - Service d'Hématologie Clinique, Clermont-Ferrand, 63000, France|Hôpital Claude Huriez - Service de Médecine Interne, Lille, 59037, France|CHU Nantes - Hôtel Dieu - Service d'Hématologie Clinique, Nantes, 44093, France|Hôpital Saint Louis - Service hématologie séniors, Paris, 75010, France|Hôpital Saint-Antoine - Service de Médecine Interne, Paris, 75012, France|CHU de Haut-Lévèque - Centre F. Magendie - Service des Maladies du sang, Pessac, 33604, France|CH Lyon sud - Service d'Hématologie Clinique, Pierre-Bénite, 69495, France|Hôpital Pontchaillou Service d'hématologie clinique et service de médecine interne, Rennes, 35033, France|IUCT Oncopole Département d'hématologie / Unité de médecine interne, Toulouse, 31059, France|CHU de Tours - Hôpital Bretonneau - Service de Médecine Interne, Tours, 37044, France"
NCT07098923,The Effect of Exercise on Blood Pressure Variability on Peritoneal Dialysis Patients,https://clinicaltrials.gov/study/NCT07098923,COMPLETED,CKD (Chronic Kidney Disease) Stage 5D|Peritoneal Dialysis (PD),BEHAVIORAL: combination of aerobic and resistance exercise,The Affiliated Hospital of Xuzhou Medical University,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2024-02-02,2024-07-30,2024-10-16,"The affiliated hospital of Xuzhou Medical University, Xuzhou, Jiangsu, 221000, China"
NCT07098910,Surfactant Therapy Via Supraglottic Airway to Preterm Neonates With RDS in Vietnam,https://clinicaltrials.gov/study/NCT07098910,NOT_YET_RECRUITING,Respiratory Distress Syndrome in Premature Infant,PROCEDURE: Surfactant Administration Through Laryngeal or Supraglottic Airways (SALSA)|PROCEDURE: Intubation - Surfactant administration - Extubation (INSURE),Karolinska Institutet,Göteborg University|University of Padova|Hanoi Obstetrics and Gynecology Hospital,ALL,CHILD,INTERVENTIONAL,2025-08-01,2028-12-31,2029-03-30,"Phu San Hanoi Hospital - Hanoi Obstetrics and Gynecology Hospital, Hanoi, 118000, Vietnam"
NCT07098897,To Evaluate the Effect and Safety of Telitacicept and Standard Treatment for 6months in IgA Nephropathy,https://clinicaltrials.gov/study/NCT07098897,ACTIVE_NOT_RECRUITING,IgA Nephropathy (IgAN),DRUG: Telitacicept 160mg|DRUG: Corticosteroid|DRUG: ACE Inhibitor or Angiotensin receptor antagonist,The Affiliated Hospital of Xuzhou Medical University,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2024-08-01,2025-05-25,2025-09-30,"The First Affiliated hospital of Xuzhou Medical University, Xuzhou, Jiangsu, 221000, China"
NCT07098884,Artificial Intelligence for Pathology Diagnosis and Prognosis Prediction of Lung Nodule Using Smartphone Photos,https://clinicaltrials.gov/study/NCT07098884,RECRUITING,Artificial Intelligence|Lung Nodule,DIAGNOSTIC_TEST: AI model,Anhui Provincial Hospital,The First Affiliated Hospital of Soochow University|Ningbo No. 1 Hospital,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-06-01,2025-10-30,2025-10-30,"Anhui Provincial Hospital, Hefei, Anhui, 230000, China|The First Affiliated Hospital of Soochow University, Suzhou, Jiangsu, 215000, China|Ningbo First Hospital, Ningbo, Zhejiang, 315000, China"
